dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid
kin40k,500,3,0.0534,-0.4694,-2674.57,774.0,1112,1
kin40k,500,3,0.0576,-0.5995,-4016.42,1354.6,1113,1
kin40k,500,3,0.0535,-0.5933,-3894.68,1234.4,1114,1
kin40k,500,3,0.0571,-0.5426,-3239.36,854.9,1115,1
kin40k,500,3,0.0628,-0.5802,-3856.55,1388.3,1116,1
kin40k,400,3,0.0582,-0.5205,-3474.00,1880.9,1112,1
kin40k,400,3,0.0584,-0.4764,-2894.71,806.1,1113,1
kin40k,400,3,0.0642,-0.4988,-3210.42,948.3,1114,1
kin40k,400,3,0.0564,-0.5073,-3213.90,1035.8,1115,1
kin40k,400,3,0.0553,-0.5153,-3339.29,1515.8,1116,1
pumadyn32nm,500,3,0.0515,-0.0238,-1081.40,2193.1,1112,1
pumadyn32nm,500,3,0.6967,1.0095,7010.41,771.8,1113,1
pumadyn32nm,500,3,0.0522,-0.0418,-881.67,1485.9,1114,1
pumadyn32nm,500,3,0.0517,-0.0093,-1036.59,2108.5,1115,1
pumadyn32nm,500,3,0.3748,0.4338,3068.70,2161.3,1116,1
pumadyn32nm,400,3,0.4018,0.6010,4221.99,782.8,1112,1
pumadyn32nm,400,3,0.0514,-0.0219,-1155.53,1309.1,1113,1
pumadyn32nm,400,3,0.0506,-0.0341,-1238.65,1781.1,1114,1
pumadyn32nm,400,3,0.0498,-0.0511,-1229.63,1838.8,1115,1
pumadyn32nm,400,3,0.3640,0.5028,3752.11,896.6,1116,1
myelevators,500,3,0.3684,-4.5686,-40468.12,4117.9,1112,0
myelevators,500,3,0.6711,-4.4128,-39969.00,4196.0,1113,0
myelevators,500,3,0.3428,-4.5492,-40136.77,4277.1,1114,0
myelevators,500,3,0.2676,-4.5831,-40199.63,4259.1,1115,0
myelevators,500,3,0.2567,-4.5766,-40091.44,4256.8,1116,0
myelevators,400,3,0.3508,-4.5385,-39968.26,3243.1,1112,0
myelevators,400,3,0.5494,-4.4916,-40221.38,3237.7,1113,0
myelevators,400,3,0.5825,-4.4509,-39910.09,3130.6,1114,0
myelevators,400,3,0.4069,-4.5057,-39808.90,3181.7,1115,0
myelevators,400,3,0.4552,-4.4834,-39755.20,3247.0,1116,0
pol,500,3,0.0159,2.4128,25055.41,6188.5,1112,1
pol,500,3,0.0201,2.2631,23180.15,6141.3,1113,1
pol,500,3,0.0195,2.3688,24439.11,6225.0,1114,1
pol,500,3,0.0216,2.3786,24639.89,3432.2,1115,1
pol,500,3,0.0240,1.9365,19492.77,6295.3,1116,1
pol,400,3,0.0241,2.1882,22438.93,4769.9,1112,1
pol,400,3,0.0248,2.4481,25074.68,4921.4,1113,1
pol,400,3,0.0181,2.4036,24798.21,4785.8,1114,1
pol,400,3,0.0201,2.4541,24557.41,4802.4,1115,1
pol,400,3,0.0169,2.4039,24760.62,3264.5,1116,1
