dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid
pumadyn32nm,200,4,0.5587,0.8092,6044.98,502.3,1113,1
pumadyn32nm,200,4,0.7844,1.0945,7848.86,262.8,1114,1
pumadyn32nm,300,1,0.0442,-0.1389,-1417.41,1854.7,1111,1
pumadyn32nm,300,1,0.0458,-0.1028,-1622.45,1923.0,1112,1
pumadyn32nm,300,1,0.0460,-0.1009,-1641.34,2074.5,1113,1
pumadyn32nm,300,1,0.0458,-0.1071,-1630.08,1640.8,1114,1
pumadyn32nm,300,1,0.0453,-0.1160,-1548.91,1236.9,1115,1
pumadyn32nm,300,4,0.5327,0.6899,4586.85,661.9,1111,1
pumadyn32nm,300,4,0.7421,1.0920,8094.35,1804.7,1112,1
pumadyn32nm,300,4,0.7078,1.0297,7799.13,673.9,1113,1
pumadyn32nm,300,4,0.2709,0.3259,2081.57,482.7,1114,1
pumadyn32nm,400,1,0.0461,-0.0996,-1663.08,2518.5,1111,1
pumadyn32nm,400,1,0.0443,-0.1409,-1399.64,2800.7,1112,1
pumadyn32nm,400,1,0.0459,-0.1084,-1596.50,2835.4,1113,1
pumadyn32nm,400,1,0.0459,-0.1021,-1634.30,2232.0,1114,1
pumadyn32nm,400,4,0.0518,-0.0296,-1062.79,2144.2,1111,1
pumadyn32nm,400,4,0.0523,-0.0237,-856.89,1074.8,1112,1
pumadyn32nm,400,4,0.2985,0.1414,3188.93,1049.0,1113,0
pumadyn32nm,400,4,0.0541,-0.0220,-902.82,610.5,1114,1
pumadyn32nm,500,1,0.0460,-0.1095,-1665.44,3100.7,1111,1
pumadyn32nm,500,1,0.0440,-0.1624,-1031.07,3620.4,1112,1
pumadyn32nm,500,1,0.0440,-0.1577,-1074.50,3685.0,1113,1
pumadyn32nm,500,1,0.0445,-0.1310,-1215.76,2771.9,1114,1
pumadyn32nm,500,4,0.5295,0.7914,6142.67,1817.8,1111,1
pumadyn32nm,500,4,0.2838,0.3438,2192.81,1305.0,1112,1
pumadyn32nm,500,4,0.3406,0.4266,2586.63,1040.1,1113,1
pumadyn32nm,500,4,0.5203,0.8027,5496.47,635.2,1114,1
myelevators,50,1,0.1762,-4.3740,-37973.28,247.4,1111,1
myelevators,50,1,0.1746,-4.3698,-37917.90,306.1,1112,1
myelevators,50,1,0.1809,-4.3719,-37975.80,279.5,1113,1
myelevators,50,1,0.1790,-4.3746,-38008.08,291.8,1114,1
myelevators,50,1,0.1799,-4.3743,-37977.26,200.0,1115,1
myelevators,50,4,0.2126,-4.3431,-37410.47,299.3,1111,1
myelevators,50,4,0.2056,-4.3494,-37617.21,352.3,1112,1
myelevators,50,4,0.2084,-4.3412,-37509.87,358.9,1113,1
myelevators,50,4,0.2040,-4.3482,-37539.94,210.4,1114,1
myelevators,100,1,0.1512,-4.4734,-38835.47,445.6,1111,1
myelevators,100,1,0.1582,-4.4563,-38681.29,534.8,1112,1
myelevators,100,1,0.1527,-4.4536,-38665.15,510.3,1113,1
myelevators,100,1,0.1505,-4.4703,-38801.30,392.9,1114,1
myelevators,100,1,0.1548,-4.4624,-38708.22,459.3,1115,1
myelevators,100,4,0.1790,-4.4855,-38787.63,553.8,1111,1
myelevators,100,4,0.2989,-4.4014,-38324.71,630.7,1112,0
myelevators,100,4,0.2761,-4.3963,-38307.74,527.7,1113,0
myelevators,100,4,0.1813,-4.4199,-38131.52,406.8,1114,1
myelevators,200,1,0.1400,-4.5483,-39491.83,934.6,1111,1
myelevators,200,1,0.1411,-4.5331,-39340.17,1094.4,1112,1
