smse,mae,sqdiff,nlpd,objective,training(s),seed,valid
0.72,6.4516,9.2149,3.5767,354596.11,42430.8,21,1
0.7225,6.4951,9.2309,3.5813,354024.78,27104.7,22,1
0.7201,6.4662,9.2158,3.5936,355615.91,15015.8,23,1
0.7248,6.4833,9.2457,3.5852,353626.94,27543.4,24,1
0.7263,6.4919,9.2548,3.5747,352993.23,40366.2,25,1
0.723,6.478,9.232,3.582,mean,,,
0.003,0.018,0.018,0.008,std,,,
