dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid
kin40k,750,2,0.0682,-0.2565,-8057.88,12757.8,1112,1
kin40k,750,2,0.0881,-0.1778,-7620.88,11174.1,1113,1
pumadyn32nm,750,2,0.0695,0.9399,-3489.35,18887.4,1112,1
pumadyn32nm,750,2,0.0695,0.9399,-3489.35,18887.4,1113,1
pol,750,2,0.0306,4.0254,22243.88,21520.3,1112,1
pol,750,2,0.0306,4.0254,22243.88,21520.3,1113,1
