smse,mae,sqdiff,nlpd,objective,training(s),seed,valid
0.7164,6.4540,9.1919,3.5858,356834.00,37119.2,21,1
0.7191,6.4876,9.2090,3.5837,355646.26,18691.2,22,1
0.7177,6.4578,9.2001,3.5924,356159.26,18980.0,23,1
0.7168,6.4567,9.1943,3.5925,356244.39,18326.3,24,1
0.7188,6.4744,9.2071,3.5936,356726.54,19410.8,25,1
