smse,mae,sqdiff,nlpd,objective,training(s),seed,valid
0.7634,6.7944,9.4883,3.6311,355555.62,81978.7,1112,1
0.7511,6.6771,9.4118,3.5945,355755.69,82838.8,1113,1
0.7746,6.8256,9.5576,3.6611,355660.89,71202.4,1114,1
0.7595,6.7157,9.4641,3.6422,355467.48,59606.3,1115,1
0.7555,6.6915,9.4394,3.6183,355491.94,48079.4,1116,1
0.761,6.741,9.472,3.629,mean,,,
0.009,0.066,0.056,0.025,std,,,
